GO.ID	Term	Value	Count	Group
GO:0042744	hydrogen peroxide catabolic process	-4.647431614	7	C11
GO:0050794	regulation of cellular process	-11.53135733	58	C11
GO:0051716	cellular response to stimulus	-17.28836146	51	C11
GO:0006559	L-phenylalanine catabolic process	-4.27067319	3	C13
GO:0008643	carbohydrate transport	-3.868060705	6	C13
GO:0009664	plant-type cell wall organization	-4.172049472	6	C13
GO:0009800	cinnamic acid biosynthetic process	-4.70333481	3	C13
GO:0042537	benzene-containing compound metabolic process	-3.66274046	4	C13
GO:0042743	hydrogen peroxide metabolic process	-9.128660619	9	C13
GO:0044248	cellular catabolic process	-1.692503962	10	C13
GO:0072593	reactive oxygen species metabolic process	-7.657182685	9	C13
GO:0006006	glucose metabolic process	-2.155460698	3	C14
GO:0006104	succinyl-CoA metabolic process	-2.37427609	2	C14
GO:0006105	succinate metabolic process	-2.167938385	2	C14
GO:0009051	"pentose-phosphate shunt, oxidative branch"	-3.228339041	3	C14
GO:0030001	metal ion transport	-2.628562683	6	C14
GO:0032504	multicellular organism reproduction	-2.155460698	5	C14
GO:0051156	glucose 6-phosphate metabolic process	-1.987162775	3	C14
GO:0090377	seed trichome initiation	-4.963770456	4	C14
GO:0098662	inorganic cation transmembrane transport	-2.628562683	4	C14
GO:0042853	L-alanine catabolic process	-2.01858916	2	C15
