gene	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120
Mp1g01450	13.53800002	13.5333599	13.09559186	13.35146659	13.32247596	13.45866117	13.26283124	13.16890352	13.20665759	13.38964373	13.17627514	13.19163412	13.79934999	14.05118597	12.78708086	12.72885744	13.72200997	13.84278889	12.8576143	12.65563401	13.40345795	13.44177652	12.6250285	12.90628502
Mp1g01540	10.63677661	10.78246772	11.49271627	10.40120303	10.48060246	10.12525752	10.77329775	10.61571727	10.95316874	10.57265154	10.52226885	10.57081174	10.9285045	11.23185481	10.87924919	11.25974491	10.91920023	11.37801531	10.83870393	11.42676429	9.394089689	9.39532218	10.01667734	9.706011024
Mp1g01810	8.112733435	8.251764941	8.566522657	8.814220043	8.636238773	8.641991405	8.502302597	8.347539985	8.396976252	8.796916576	8.864033803	8.959203641	8.337983568	8.017230016	8.346005224	8.716400121	8.279620453	8.217672378	8.475535644	8.716255214	8.519130369	8.630092247	8.97516151	8.768189532
Mp1g01840	7.991392805	8.109252567	8.184247744	8.530448879	8.3027874	8.325928878	7.791673446	7.679733158	7.782017768	7.796926002	7.893613347	7.836164779	7.946742919	7.682753026	7.695583825	7.352130164	8.174176967	7.939993419	7.824614437	7.501825816	8.450530779	8.409206989	8.451233675	8.129225688
Mp1g01860	8.984533501	8.783661272	8.904819545	8.929503112	8.936339539	9.097870318	8.948738513	9.459021259	8.923124616	8.887287134	8.887081003	8.709215376	8.876094649	8.868409273	9.166044503	8.966471858	8.886499691	9.007042856	9.087958283	8.875040581	8.940619301	9.227071723	9.746714197	9.838760909
Mp1g01880	9.246324596	9.231114478	9.697034517	9.400293997	9.31256215	9.56340385	9.682095889	9.593639875	9.658699112	10.09507493	10.05967592	10.3696221	9.233474679	9.753921805	9.804278405	10.75657297	9.244945579	9.747673442	9.852200585	10.69113647	9.281013358	9.428504496	9.825735423	9.803199402
Mp1g01950	7.556376448	7.631697157	7.100684046	7.706040503	7.680820391	7.574879095	7.874854435	7.863720381	7.655069095	7.772787996	7.555293858	7.824824517	7.420893387	7.87316794	7.966214616	7.806335169	7.408857172	7.586069262	7.724795603	7.576309619	7.503200887	7.298396885	7.338433868	7.528783902
Mp1g02010	11.17376816	11.35850516	11.12958089	11.00789484	10.99957206	11.00138951	11.26576906	11.15031288	11.28532944	11.14966204	11.12127667	11.22829854	11.75084058	11.8795137	10.53015408	10.69192212	11.71752972	11.87894795	10.74273219	10.6618913	11.59752909	11.69055069	11.09572833	11.03959169
Mp1g02020	9.416998355	9.49727511	9.250828063	9.423171894	9.384323506	9.460966806	11.03696626	11.00217009	10.989813	9.956662154	9.718181607	9.966091827	9.73922484	9.664676151	10.71462139	9.664220921	9.679068893	9.608262016	10.72876802	9.669754354	9.522200885	9.527883829	10.61895874	10.58694566
Mp1g02040	10.38472146	10.41695307	9.991049997	10.42506097	10.36799815	10.45090028	10.97411418	11.10674459	11.10484788	10.61040863	10.58807253	10.71454825	10.83914732	11.22553114	10.48761714	10.03403582	10.84084204	11.06658229	10.53897502	10.19748165	10.62147445	10.52217611	10.71822263	10.7285254
Mp1g02070	8.341607093	8.238300895	8.546304324	8.547093885	8.36837268	8.652877507	8.194801635	8.061787678	8.168673105	8.352752957	8.289644771	8.487892462	8.422966856	8.165628644	7.949205074	7.990329342	8.420043374	7.939993419	8.212593638	7.791181635	9.382616483	9.497030748	8.779273241	9.102111908
Mp1g02090	7.494361845	7.566494722	7.434496835	7.418021767	7.515856334	7.385407704	8.16074603	8.327410026	8.602488757	7.550951983	7.599040817	7.789956885	7.586669697	7.76375116	8.15127981	7.43510684	7.817347299	7.626034775	8.131600984	7.614107329	8.092059498	7.938865427	8.570409323	8.729006971
Mp1g02150	9.024096501	8.766215845	8.454632969	8.662796443	8.399846613	8.647446201	8.888238764	9.102566774	8.976653158	8.345684399	8.279031672	8.32870529	8.852030927	9.67278396	8.714085514	8.683194058	9.141445911	9.652387898	8.829550538	8.786707093	9.199518643	9.216175866	9.348773659	9.693548034
Mp1g02200	11.41374872	11.58813761	11.8153456	11.61825419	11.55194192	11.47188233	11.50219169	11.44004652	11.51483216	11.25106687	11.51073002	11.60332787	11.57600189	12.61769975	11.42772763	12.48713032	11.62950792	12.61240869	11.52008158	12.39250879	10.25150047	10.16382814	10.21812066	9.947335247
Mp1g02210	10.75921582	10.61943934	10.69584033	10.68401241	10.57499466	10.69995395	11.63593431	11.64138518	11.62160064	11.11076736	11.01700075	10.98319947	10.56257249	10.80640236	11.71093841	11.49542885	10.59573328	10.64578647	11.72973679	11.35135818	10.53583377	10.54569222	11.36094155	11.43043738
Mp1g02260	7.654256093	7.851842631	7.390710488	8.13693829	8.04638754	8.027601774	7.549816062	7.540938929	7.462547691	8.202485678	8.300161349	8.224809326	7.6021747	7.406203254	7.649393412	7.882991407	7.564274074	7.499405815	7.54509732	7.863549877	8.377801478	8.436189026	8.160892792	8.302811235
Mp1g02360	10.08373266	10.00256865	9.899704485	9.720662448	9.750769573	9.90910727	11.26401993	11.34356432	11.24829392	10.05239619	10.081764	10.22408545	10.05523132	9.736007133	11.24437097	10.00569488	10.0804858	9.743280191	11.18067652	9.927877654	10.0467415	10.00974506	11.02380924	11.11683706
Mp1g02570	7.972850755	8.030368742	7.850897477	7.819577684	7.957744139	7.799746162	8.306513588	8.035723361	7.981506533	8.264967044	8.015782603	8.232550983	8.007861491	7.730900203	8.141793196	8.336080914	7.873579802	7.822707307	8.093598078	8.237167188	7.623839151	7.64803986	7.881660833	8.07137184
Mp1g02660	9.766000941	9.600344057	9.368463445	9.307859199	9.354877891	9.388198647	8.839723382	8.614911975	8.878677827	8.38061138	8.60357375	8.481663527	9.333697719	9.500917812	8.908241939	9.084991391	9.432517225	9.427332545	9.003476844	9.01486128	9.082617545	9.026606262	8.682027845	8.795464231
Mp1g02790	11.89707711	11.74360243	11.20016719	11.63032029	11.60419718	11.78310464	10.54977998	10.35386363	10.56950251	11.34897198	11.27785483	11.31684225	11.68271727	12.33810518	10.43026892	10.97069848	11.75558355	12.18291906	10.37072916	10.89214561	11.77867515	11.73722748	10.5743182	10.96820237
Mp1g02880	11.5918139	11.51415082	10.82206017	11.52438266	11.65756825	11.73249422	11.181168	11.21984089	10.87964371	11.93423187	11.7307411	11.82590107	11.73465731	12.03697351	10.60786789	10.95061391	11.7466139	11.94880941	10.60459178	11.07848983	11.87529832	11.76016218	11.37900228	11.45166905
Mp1g02885	10.11952237	10.09369239	10.37775836	10.08914671	9.864622372	9.883156122	9.223222749	9.578158348	9.171543756	9.222582277	9.3135353	9.009748184	10.47649537	10.6401066	8.994290013	9.201463737	10.51460544	10.5917928	9.010344492	9.307139714	10.17261416	10.14428864	9.7229129	9.886840599
Mp1g02900	8.480430148	8.265072166	8.73515903	8.055736869	8.08805086	8.414650291	8.358563146	8.120240922	8.095514332	8.460483254	8.506213708	8.437142748	8.0371167	7.971451131	8.757604349	8.574945075	8.075734337	7.796354699	8.703046246	8.748758697	7.903156796	7.82264845	8.002474234	8.133910561
Mp1g02920	7.132145747	7.579970123	7.100684046	7.381789876	7.500383605	7.404939041	7.316596975	7.389535758	7.116256203	7.484346518	7.520772599	7.425242851	7.410991132	7.229849211	7.249294281	7.064761067	7.144195236	7.335891023	7.33213787	7.457782698	7.796061695	7.662241876	8.151923801	7.660653248
Mp1g02930	7.309506999	7.364014443	7.90052217	7.589390358	7.381320595	7.344439954	7.51597187	7.493975883	7.462547691	7.501570555	7.520772599	7.545444916	7.390727284	7.639213476	7.54839866	7.584109917	7.473373669	7.718255898	7.666599824	7.638356268	7.377107168	7.222369503	7.326658368	7.149109259
Mp1g02960	10.14751752	10.36563245	10.36886739	10.26777643	10.3622002	10.41084751	12.10279526	12.15345308	12.13147986	10.06806496	10.09132026	10.04052818	10.40321493	10.06925893	12.06301617	10.30042584	10.24607472	10.2084121	12.11457658	10.28546641	9.988238048	10.09374328	11.9017218	11.86824813
Mp1g02980	8.642175592	8.396299839	8.637969366	8.764157877	8.656569393	8.440671294	7.874854435	8.026890113	7.796690372	8.460483254	8.506213708	8.430646633	8.627058382	8.224727809	7.77438193	8.163712246	8.500093753	8.469049367	7.986885187	8.243665746	8.803836042	8.88261449	8.115297705	8.188629328
Mp1g03020	11.32219985	11.18005877	11.15246545	11.25491624	11.28620913	11.41701169	12.02601701	12.13970653	11.99361214	11.54843069	11.61909516	11.59276689	10.75193218	10.891711	12.43252153	11.90578207	10.81067675	10.88493366	12.36906647	11.83118097	11.27934323	11.27653112	12.05966217	12.25433473
Mp1g03040	9.610049193	9.512476404	9.250828063	9.195382025	9.37262091	9.35031872	10.06776181	10.25307359	10.34729373	9.738247693	9.768682091	9.818121299	9.425499038	9.559137297	10.34373727	10.26995406	9.339493399	9.309184052	10.26564119	9.984337107	9.119813646	9.049499398	9.713546453	9.606011387
Mp1g03100	10.76933528	10.64227965	10.51939091	10.44989477	10.53180585	10.59281458	11.4346318	11.46439659	11.49741017	10.46040719	10.55407571	10.44234841	10.52455103	10.36709903	11.58844359	10.90055264	10.51106396	10.33476922	11.53959094	10.80880276	10.19779025	10.21197836	10.95931964	11.06527435
Mp1g03140	7.729858058	7.737530422	7.79855629	8.167797105	8.120255954	7.930450442	7.951454738	7.842626918	7.811134073	8.651010806	8.519356627	8.600614964	7.609815905	8.075306832	7.988461184	8.432562652	7.817347299	7.993822552	7.81191454	8.262942276	7.779718846	7.749230786	8.169789694	8.290671952
Mp1g03150	7.799499929	7.801624435	8.025481922	7.741628247	7.752474046	7.739428894	8.203155768	8.070335452	8.084649654	8.864106188	8.843950163	8.765214017	7.835759456	8.148151108	8.309611915	9.201463737	7.713163793	8.040811932	8.229822882	9.226037047	8.008461897	7.828512221	8.613818767	8.676798038
Mp1g03210	11.1438764	11.01434406	10.58679689	11.29869765	11.31562608	11.29082481	12.20921059	12.27081783	12.14328136	10.482409	10.47214903	10.57216117	11.17061646	11.17203619	12.07898063	10.68338457	11.06076122	11.0433855	12.07922651	10.49935477	10.9224089	10.9805678	11.93160104	12.25433473
Mp1g03240	8.718301794	8.813635056	8.915042909	8.467410073	8.817412801	8.684984429	8.799566103	8.892173536	8.664051411	8.816470821	8.816680799	8.959203641	8.998931098	9.446500176	8.477786826	8.941443902	9.118608685	9.43833387	8.565793111	9.125391333	7.193617667	7.248938542	7.048831977	6.875844105
Mp1g03310	7.853777248	7.899556439	8.229506055	7.881584589	7.850317272	7.604680803	8.169358148	8.144359275	8.36332729	7.784936253	7.708471805	7.728724168	9.103348146	9.337644917	7.557326345	7.306083292	8.87271293	9.082064876	7.421347461	7.368843401	8.673167438	8.565781856	7.511342782	7.528783902
Mp1g03450	7.510357408	6.698488405	6.698488405	7.209883402	6.860854266	6.698488405	7.49845427	7.215728249	7.671990504	7.682798348	7.599040817	7.741308589	7.400937966	7.395918949	7.219827465	7.363112353	7.427923613	7.392046972	7.30764901	7.480144287	7.413100418	7.490133918	7.314643544	7.26980802
Mp1g03640	9.974512176	9.899442315	9.614297138	10.00938645	9.820608261	10.01833674	10.94052907	10.81218724	10.87018229	10.14759795	10.07214283	9.988633972	9.925045034	9.808779716	10.88912901	9.98755462	9.7668874	9.898301893	10.825024	10.05270354	10.0601102	10.01898713	10.74767959	10.82135532
Mp1g03670	7.799499929	8.139257598	7.683924695	8.021445316	7.880800362	7.87811947	7.874854435	7.842626918	7.811134073	7.69623302	7.717755594	7.561118702	8.185120941	7.776563763	7.739427413	7.584109917	8.062208016	7.878223015	7.481134011	7.684829439	7.796061695	7.69673817	7.580107193	7.401385275
Mp1g03750	13.08023818	12.90268634	13.62814016	12.95408282	13.0025376	13.07272891	12.83636459	12.74990781	12.85933878	14.02266022	13.92230661	13.9694118	13.72998856	13.87975583	11.86997663	12.36621515	13.72345714	13.83753116	12.09688092	12.43509287	12.97772816	12.99588516	12.16884889	12.29845581
Mp1g03760	7.765347326	7.780756306	8.127394892	8.055736869	7.929582278	8.055056679	7.51597187	7.627031735	7.85317897	8.136322339	7.908781751	8.240240207	7.962368887	8.399899737	7.557326345	7.830586656	8.025271028	8.410284497	7.595929066	7.650218084	8.266448106	8.338951838	7.808909524	8.004940462
Mp1g03780	7.613754906	7.196476422	7.47562356	7.797972284	7.717378616	7.87811947	7.462090362	7.729366042	7.462547691	8.421211766	8.371237868	8.594930903	7.504117726	7.436129694	7.376850823	7.762306929	7.587284372	7.606300256	7.389343256	7.595432607	7.990912419	7.933632047	8.101239567	8.133910561
Mp1g03840	7.240954253	7.399339439	7.47562356	7.127018616	7.32277841	7.252863315	7.533084257	7.477626367	7.484174118	7.501570555	7.689601609	7.662929667	7.430650884	7.30693273	7.341405843	7.500170155	7.482119357	7.315958966	7.355659301	7.696060907	7.471763004	7.729910082	7.833783072	7.697859675
Mp1g03950	10.6057135	10.60904098	10.25953446	10.19932329	10.48193856	10.53745358	9.622369392	9.433335535	9.309430185	9.421823179	9.267651223	9.413815712	10.43065287	10.27780559	9.441845661	9.536913067	10.49609309	10.37756063	9.53703081	9.675152707	10.3069877	10.20660863	9.584224642	9.812174518
Mp1g03980	10.76821442	10.51312714	10.62009234	9.553009972	9.686668641	9.769557257	11.20233304	11.08894039	10.80214396	10.95839954	10.78085447	10.83397142	10.04915135	10.52458416	11.58844359	11.92728687	10.13416454	10.31801886	11.75939418	12.0993351	10.60584053	10.51063347	11.33492507	11.75594657
Mp1g04150	8.53292618	8.661015474	8.675292874	8.977662412	8.960480693	8.91647552	8.552877691	8.526398618	8.421603702	8.887287134	9.043832137	9.030253784	8.582864301	8.410465777	8.606345863	8.358210017	8.566445664	8.389017848	8.475535644	8.657875096	9.609229953	9.713926184	9.581275618	9.734666719
Mp1g04160	8.509871784	8.384413853	8.518821258	8.15247557	8.282370384	8.081818884	8.819800046	8.870480688	8.602488757	8.64547743	8.607638574	8.780071931	8.482968041	8.461945	8.757604349	9.038840154	8.433212949	8.313059755	8.778795596	8.974086067	8.046900099	8.057049678	8.492261219	8.334576687
Mp1g04220	10.73646882	10.74288983	10.44864556	10.3653762	10.33136767	10.41235117	9.470085422	9.456190779	9.434672646	9.511566254	9.611356184	9.465003582	9.942674444	9.952770691	10.2027047	10.57319788	9.904942652	10.08273593	10.13199877	10.51551407	9.954233311	10.01283247	9.992662685	9.870995842
Mp1g04530	10.45342625	10.48558142	10.68301374	10.3121495	10.4631183	10.52500866	10.14636433	9.963524656	9.966168903	10.01447239	10.06661553	9.917761861	10.66434388	10.47654296	9.84715036	10.03611273	10.71678653	10.62997795	9.829740419	10.12889296	9.819922517	9.820384159	9.551436051	9.658333844
Mp1g04650	11.79375416	11.80591769	11.23371377	11.70466673	11.88474277	11.7568444	11.55533186	11.60493548	11.71120685	11.339396	11.37035267	11.36031833	11.47016963	12.23970731	11.67683786	11.57157853	11.55848828	12.1074152	11.78909226	11.31535896	10.75389661	10.80249305	11.54924963	11.84191042
Mp1g04670	7.389873076	7.306910327	7.434496835	7.381789876	7.500383605	7.300495077	7.56618949	7.389535758	7.462547691	7.735334852	7.885940352	7.880225136	7.430650884	7.364038879	7.49248562	7.43510684	7.418458665	7.24009258	7.320021431	7.607930491	7.348705749	7.490133918	7.250420316	7.26980802
Mp1g04710	7.991392805	7.538818118	7.514495084	7.258115855	7.32277841	7.423904579	7.533084257	7.408103957	7.620159172	7.430003375	7.191238699	7.278271095	7.793675484	7.750754802	7.376850823	7.340947375	7.823122763	7.724065993	7.461772039	7.295224186	7.562319439	7.68310638	7.445413411	7.401385275
Mp1g04750	9.930770651	9.990082354	10.00955004	10.20095326	10.00773712	9.974017279	9.625140442	9.459021259	9.542576472	9.757803232	9.761823772	9.827269622	10.19932448	9.90562954	9.310889121	9.262487997	10.17155658	9.876460692	9.319081447	9.188207906	10.58452125	10.68882568	9.817033206	9.714258412
Mp1g04760	9.756889871	9.676288852	8.989291413	9.565860658	9.504222355	9.566144066	10.68305625	10.77699612	10.66963978	9.672736787	9.405382476	9.621370989	9.489032068	9.322109247	10.73189334	9.665572103	9.444660161	9.178192956	10.76505611	9.598744713	9.609229953	9.396920559	10.68611917	10.87985994
Mp1g04770	6.698488405	7.399339439	7.47562356	7.630126625	7.870745821	7.543896641	7.686353566	7.692410327	7.688580997	7.970764974	8.118965081	7.301612828	7.302383078	7.353041897	7.77438193	7.463731868	7.280425927	7.295320121	7.772739457	7.43467867	7.287522773	7.310104234	7.789809848	7.740495519
Mp1g04830	9.635204754	9.818846695	9.51329857	9.307859199	9.149715938	9.274651256	9.099098812	9.007459135	9.216154652	8.932454932	9.092228815	8.950588794	9.653107608	9.232427076	9.050224608	9.231393576	9.787122072	9.472158439	9.019446551	9.218555132	9.248045823	9.26453391	8.97516151	8.679755432
Mp1g04910	10.17666923	10.10695139	10.64382942	10.43476999	9.988969335	10.462555	11.19959	11.17076545	11.34793112	12.25909877	12.11046085	12.15806218	10.42286717	10.63806258	11.09620378	11.88766037	10.39206095	10.72396583	11.07285827	12.00732276	10.35391586	10.42018263	11.17435889	11.08737594
Mp1g04940	10.73302539	10.65693266	10.27676495	10.89621498	10.89540533	10.65881503	11.4790179	11.3987649	11.43471637	11.64742037	11.70318922	11.77135239	11.30242011	11.71918079	10.59658999	11.18835684	11.29641235	11.4552573	10.63630436	10.89443098	10.78570656	10.62340647	9.786780948	10.07067234
Mp1g05090	10.16302534	10.03070129	10.1347951	10.37693906	10.44678672	10.462555	9.178001656	9.453354485	9.202924912	9.540232267	9.446950016	9.528551274	9.703335891	9.836624521	9.690275731	9.783367585	9.704369106	9.78447041	9.567708917	9.615715101	9.794451997	9.734121171	9.398514132	9.441083737
Mp1g05150	8.668062171	8.787986013	9.027252663	8.601016172	8.856831741	8.72144477	9.506740952	9.567740733	9.427170432	9.926844469	9.949772938	9.953642726	8.817577363	8.950987245	9.369837017	9.853591012	8.884211956	8.968853696	9.524567135	10.01935532	8.877164952	9.100116244	9.499188326	9.586623572
Mp1g05180	7.478004774	7.619072897	7.434496835	7.343367369	7.095161162	7.277195441	7.083617114	7.099992951	7.34259235	7.349894084	7.316794142	7.345636716	7.468342707	7.353041897	7.365259652	7.138172947	7.389221586	7.373883594	7.227004276	7.360117517	7.206350712	7.321578895	7.263880492	7.283073676
Mp1g05190	11.54165096	11.40918482	13.11554157	11.06509358	11.20307353	11.30540495	11.01943581	11.11556461	11.06751766	10.7890821	10.7597266	10.88906662	11.72806985	11.67448865	11.53055343	11.58781119	11.78040535	11.70884199	11.57746373	11.72754984	11.54883457	11.52541567	11.36979024	11.32551509
Mp1g05220	7.753672781	7.748532799	7.47562356	7.949268103	7.939057433	7.674725961	7.383035277	7.831902732	7.545437433	7.582177842	7.797229826	7.76595871	7.781293186	7.878892332	7.442346715	7.185844	7.811536053	7.780176154	7.499984615	7.620237403	7.812120947	7.761883622	7.650896065	7.491967298
Mp1g05260	8.036344653	8.366358853	7.533184983	8.097100895	8.136007771	8.282604139	8.515142696	8.5879221	8.650628552	8.731237911	8.716435319	8.76022304	8.193480397	8.273036621	8.349980053	8.476384255	8.170075439	8.065583586	8.458064999	8.483046466	8.108021108	8.098149492	8.208969673	8.302811235
Mp1g05310	10.59689354	10.50192259	10.19046846	10.71274843	10.67990951	10.56607701	10.2967727	10.12538227	10.0384521	10.22813735	10.28319113	10.41701324	10.65242705	10.82027746	9.90849146	9.950559897	10.63853083	10.76151073	9.98443768	9.836789107	10.64048451	10.5011859	9.973822283	10.15434314
Mp1g05410	8.871394567	9.151503931	9.036576223	9.28922491	9.25295484	9.39441167	9.454520759	9.475883438	9.427170432	9.208205513	9.299211436	9.191131404	8.805047629	8.323178991	9.634810972	9.141522158	8.85410147	8.442958906	9.640128434	9.233477979	9.082617545	9.167921695	9.683693974	9.700485625
Mp1g05920	11.14732425	11.27860756	11.92980621	11.12095724	11.22471029	11.15069373	12.65469041	12.65497938	12.63021091	10.99549358	11.00557054	10.91690082	10.82330432	10.01115547	13.04607346	10.78077639	10.82213459	10.27261511	13.03891575	10.96526971	11.11151073	11.21272562	12.62783785	12.45328892
Mp1g05990	8.790143774	9.002496168	8.904819545	8.759508941	8.661601291	8.663670548	8.275692223	8.264844431	8.292999682	8.454026071	8.433620468	8.349808015	8.99675705	8.403432142	8.188433445	8.286647758	8.981287983	8.681895086	8.122223983	8.620562418	8.491014624	8.744443386	8.658718679	8.330652932
Mp1g06050	7.627478299	7.399339439	7.47562356	7.323208743	7.022708825	7.277195441	7.533084257	7.426161971	7.417160451	7.145482837	7.332606054	7.386677649	7.118455747	7.243493207	7.732270041	7.551636135	7.427923613	7.122005634	7.674093556	7.494670714	7.668661337	7.716791705	8.062829472	8.253468395
Mp1g06140	8.361517034	8.899620995	8.525749731	8.726486381	8.785903939	8.674372288	10.35572084	10.28328077	10.28536402	9.41562766	9.41864501	9.476776898	8.727202238	8.833862899	10.1937208	9.363540803	8.806375013	8.770569316	10.08764692	9.432038248	8.733153693	8.49795489	10.04241822	10.00979312
Mp1g06180	9.912478005	10.02196981	9.688400683	9.888759623	9.889168612	9.863374039	9.139127481	9.050142537	9.053100837	9.384224821	9.442633029	9.357459363	9.8788369	9.954976689	9.077336708	9.451371948	9.864147255	9.98983792	9.092260243	9.546554784	9.804057658	9.788201738	8.99346361	9.071822849
Mp1g06240	8.018595864	8.013861536	7.912544417	8.038730639	7.948444036	7.94059351	7.828221489	8.399599065	7.796690372	7.930101251	7.988328002	7.880225136	7.743104006	7.770180008	8.197531473	8.206194337	7.78792144	7.729838055	8.304289435	8.437222786	8.411684831	8.367555871	8.307276614	8.302811235
Mp1g06280	11.33283268	11.38643106	12.02743481	11.12864166	11.13359703	11.15159095	12.42232427	12.41864304	12.36488204	10.98733292	10.85523159	11.12571327	11.4611148	10.95375013	12.44656045	10.80033468	11.48342146	11.02830476	12.51849699	10.92112694	11.62514207	11.6796842	12.48988408	12.59089038
