geneId	ABA_ATAC	genotype	ABA_RNA
Mp8g15940	-0.0490092507217198	hsfa	1.15478593383354
Mp2g00890	-0.0466412259606565	hsfa	-0.336938463051284
Mp5g12720	0.403409904364339	hsfa	0.547415988803106
Mp4g21690	0.0267461076107957	hsfa	-0.0785068374557186
Mp2g18140	0	hsfa	0.202172814767307
Mp1g17210	-0.0551340214256102	hsfa	-0.33188752943818
Mp2g22820	-0.141826317461612	hsfa	0.654585319005211
Mp5g08310	0.121384818009414	hsfa	0.408300049593636
Mp5g09040	-0.0343100459584196	hsfa	0.299449544140603
Mp5g21950	0	hsfa	-0.0634034843759778
Mp1g23200	-0.081161901994724	hsfa	0.444423425985312
Mp2g10330	0.160741585568937	hsfa	-0.82476123200617
Mp4g17810	0.160109378474958	hsfa	-0.0880724778128609
Mp1g27640	-0.180491755681599	hsfa	0.767996510221984
Mp3g23440	-0.0499974703379053	hsfa	0.58065316301339
Mp4g09300	0.0747460835558312	hsfa	0.446708049189131
Mp7g06280	0	hsfa	0.153068469678868
Mp3g03400	-0.00393612680008245	hsfa	0.737496428647359
Mp3g03420	0.224499476834222	hsfa	-0.210694209655634
Mp3g18220	0.134397350887746	hsfa	0.177822248939307
Mp7g06480	0.00175906511375495	hsfa	-1.06485103973159
Mp7g06550	-0.139314686654965	hsfa	-0.5531785289737
Mp1g27920	0.0143347351900454	hsfa	-0.705947478527034
Mp4g19590	0.115093518852556	hsfa	0.0426721689563936
Mp6g12730	0.0287523315793306	hsfa	-0.101617098336908
Mp6g02620	-0.0519737777192047	hsfa	0.225495420597387
Mp8g07630	-0.103580115274403	hsfa	-0.230176264382075
Mp2g20430	-0.10125004175229	hsfa	0.0296643015638865
Mp3g09970	0.0063778454207225	hsfa	-0.439505579958487
Mp5g19490	0.00134932658595911	hsfa	-0.316362773144351
Mp5g22160	-0.136835820618787	hsfa	-1.07373769766922
Mp4g00200	-0.140630793139551	hsfa	-0.437834054091275
Mp3g20700	0.0487907085624557	hsfa	-1.78682396539578
Mp6g17310	-0.169700226158876	hsfa	-0.508429235454152
Mp1g05180	-0.123384106052687	hsfa	-0.816767607397498
Mp5g21250	-0.238896993668417	hsfa	-0.292443495251509
Mp7g17200	-0.133231751123763	hsfa	-1.21301730002054
Mp4g00180	-0.171520958770616	hsfa	-0.464661094846422
Mp2g12370	-0.104601000293324	hsfa	-0.704160241727654
Mp3g11900	-0.0754632740404749	hsfa	-0.966725983883991
Mp1g03580	-0.123279218440518	hsfa	-0.740798316396638
Mp6g07560	-0.00699065979927183	hsfa	0.469196614535968
Mp2g25940	-0.08071240346791	hsfa	-1.39908896147401
Mp4g18220	0.0712906215000078	hsfa	0.0670483920254324
Mp4g21300	0.0145203191095179	hsfa	-1.43273481401753
Mp1g27950	-0.0382202131027177	hsfa	-0.803583082940758
Mp2g22250	-0.0250623005807096	hsfa	-1.21161077051299
Mp5g18910	-0.0510883095742196	hsfa	-1.38371530575276
Mp5g03090	-0.17659510676936	hsfa	-1.30867093924883
Mp4g14800	0.0662351391343046	hsfb	2.55157202361391
Mp4g14870	0.604368448598911	hsfb	3.44745637879943
Mp4g14860	0.575834628967508	hsfb	2.26638996993359
Mp8g15940	0.0655886774555954	hsfb	1.07938292734717
Mp2g00890	0.0739521887334247	hsfb	-0.090564408263784
Mp5g12720	0.305500492491462	hsfb	-0.191184782414874
Mp4g21690	0.0382131373908865	hsfb	-1.05075416245082
Mp2g18140	0	hsfb	0.294248521446641
Mp1g17210	0.0717869146428042	hsfb	-1.86630189491621
Mp2g22820	-0.208456667171682	hsfb	0.436145812538802
Mp5g08310	0.104581711660708	hsfb	0.228504584467471
Mp5g09040	0.0342609741850353	hsfb	0.768538898160163
Mp5g21950	0	hsfb	1.00439169593259
Mp1g23200	-0.0568835079984674	hsfb	0.541655422419195
Mp2g10330	0.0710903731292523	hsfb	1.07724818490101
Mp4g17810	-0.291065429509715	hsfb	-0.489832891969523
Mp1g27640	-0.0871759206229226	hsfb	1.82280814740472
Mp3g23440	-0.0253233979594036	hsfb	-0.209802335971324
Mp4g09300	0.268926761641503	hsfb	1.07666115785921
Mp7g06280	0	hsfb	0.102629077386046
Mp3g03400	0.329520966438701	hsfb	1.12572111570227
Mp3g03420	-0.0897685300873707	hsfb	-0.0839430078070362
Mp3g18220	0.242458901607981	hsfb	0.3431173245956
Mp7g06480	-0.134923249074787	hsfb	0.426864517620432
Mp7g06550	0.0320032881756839	hsfb	-0.295884903722998
Mp1g27920	0.0573877168722537	hsfb	-0.806547635496695
Mp4g19590	-0.076958853608357	hsfb	-0.23967113004319
Mp6g12730	0.0847393882887834	hsfb	-0.38880523950716
Mp6g02620	-0.137359169503985	hsfb	0.00114620678594521
Mp8g07630	0.123265220480364	hsfb	0.232591937668793
Mp2g20430	0.0276933128156585	hsfb	-0.370520947312343
Mp3g09970	-0.259641813726663	hsfb	-0.056349831291178
Mp5g19490	-0.000832485316550442	hsfb	-0.61623218682559
Mp5g22160	-0.0069123172320553	hsfb	-0.7988702028507
Mp4g00200	0.0194459607563282	hsfb	-0.135853811971617
Mp3g20700	0.0847345633912898	hsfb	-1.81967491367157
Mp6g17310	0.0774131940798668	hsfb	-0.351876614986497
Mp1g05180	0.00275799485063735	hsfb	-1.16182204609365
Mp5g21250	-0.0519402429266584	hsfb	-0.384919312043904
Mp7g17200	0.121670853470837	hsfb	-1.47233186334846
Mp4g00180	-0.0345922298539565	hsfb	0.197285707761843
Mp2g12370	-0.187380393576293	hsfb	-0.382481886667553
Mp3g11900	-0.0111440908883596	hsfb	-1.19193925758928
Mp1g03580	-0.0186535549685845	hsfb	-1.20936181379106
Mp6g07560	0.0487281015303758	hsfb	1.21373954161268
Mp2g25940	-0.00335136023059604	hsfb	-1.46413838981572
Mp4g18220	0.022511581297377	hsfb	0.326231885981564
Mp4g21300	0.0327311124321985	hsfb	-3.49693331941958
Mp1g27950	-0.106864700259302	hsfb	-1.65969342681175
Mp2g22250	0.134501714955514	hsfb	-1.69219951905388
Mp5g18910	0.0855797683068117	hsfb	-1.23310941212271
Mp5g03090	-0.104551273677702	hsfb	-2.45247991923971
Mp4g14800	-0.0452978607677285	dko	3.93637553849269
Mp4g14870	0.583061574819154	dko	4.17471004532849
Mp4g14860	0.365709763779203	dko	2.69732346172257
Mp8g15940	0.0857640699797853	dko	1.48888035028736
Mp2g00890	0.166834115045262	dko	-0.850525156967643
Mp5g12720	0.278009946986685	dko	0.614108288340783
Mp4g21690	-0.00403986161538932	dko	-0.564141159621373
Mp2g18140	0	dko	0.464436395346422
Mp1g17210	0.142296477123417	dko	-1.79561852807041
Mp2g22820	-0.304894726684851	dko	1.02038879781397
Mp5g08310	-0.0156756778765242	dko	0.399819548861465
Mp5g09040	-0.00361447321740795	dko	0.940055632890139
Mp5g21950	0	dko	0.118464595620557
Mp1g23200	-0.0101447400898594	dko	0.341067057086186
Mp2g10330	-0.00192490194311782	dko	0.137154949470432
Mp4g17810	-0.196735912221062	dko	-0.124986028930765
Mp1g27640	-0.250268699718949	dko	1.60081171522315
Mp3g23440	0.10159245815752	dko	0.220950569437039
Mp4g09300	0.269766582165569	dko	1.53173036882419
Mp7g06280	0	dko	-0.0385185599467793
Mp3g03400	0.193321549598142	dko	1.67437646007129
Mp3g03420	-0.187641449611324	dko	0.00847151079164949
Mp3g18220	0.17130985710625	dko	1.34993892119794
Mp7g06480	0.0128505887863591	dko	0.415820291075715
Mp7g06550	0.013710118829769	dko	-0.19750717843319
Mp1g27920	0.299078177225949	dko	-0.934034739470667
Mp4g19590	-0.210716932738744	dko	-0.258772045187182
Mp6g12730	0.0779519419011416	dko	0.330069637073762
Mp6g02620	-0.0275417666300689	dko	-0.145868391062836
Mp8g07630	0.168034757495824	dko	0.787496646089319
Mp2g20430	0.0646287443346463	dko	-0.594395077019574
Mp3g09970	-0.206225641221594	dko	-0.12238720197797
Mp5g19490	-0.118218637072732	dko	-0.474493011220192
Mp5g22160	0.0480431946305915	dko	-0.592138097495571
Mp4g00200	0.113592465775708	dko	-0.252487360442217
Mp3g20700	0.095077487089347	dko	-3.85491976090122
Mp6g17310	0.110534103275406	dko	0.00976407731622969
Mp1g05180	0.0702935453421873	dko	-0.949661819553282
Mp5g21250	-0.0947440126424587	dko	-0.234703420262422
Mp7g17200	0.0743940020713398	dko	-1.71171441300133
Mp4g00180	-0.0605258145183782	dko	0.0311541174356474
Mp2g12370	-0.192421067521587	dko	-0.635730550478117
Mp3g11900	0.105612931193522	dko	-1.14862241097285
Mp1g03580	-0.0498956554081183	dko	-1.62540973707553
Mp6g07560	0.0219327034774078	dko	1.34399431543865
Mp2g25940	-0.00780564612942588	dko	-1.92053958174072
Mp4g18220	0.287010594072937	dko	0.59111081899219
Mp4g21300	0.0516051768980008	dko	-2.90243985551183
Mp1g27950	-0.16866354496132	dko	-1.61650310984342
Mp2g22250	0.173131232816768	dko	-1.67809434722749
Mp5g18910	0.11787347573247	dko	-1.19677982771553
Mp5g03090	-0.0671561291764667	dko	-2.67403602418699
